,tweet
0,"@Nintendeal Elden Ring. I should’ve known better, but I bought into the hype."
1,"Me: gawd, Elden Ring is kicking my ass, maybe I should put it down for a while. 

*kills boss*

Me: https://t.co/pQPlHlwfxx"
2,RT @SuperButterBuns: Yeah Elden Ring is cool &amp; all but this is the only ring I care about right now 💍💕 https://t.co/sVGaHiE0tG
3,"RT @MrPoppt1: Elden Ring but I cause myself physical pain

https://t.co/oIkn2N5RO7"
4,"RT @renjingles: Also god damn, the entire Elden Ring soundtrack slaps hard. It's got everything, from some absolutely beautiful soul rendin…"
5,"Nikki is fighting a really hard elden ring boss so I started to shake her chair and she was like ""noooo stop you're going to mess with my i-frames :("" jwhshhzhabsgahdhzh"
6,"Elden Ring is making me feel like a little bitch rn
60 minutes just making a character 

5 mins actually playing the game

The guy with the golden horse tree something I forgot bullies me into dying 10 times already 

Wtf is this shit man"
7,RT @fawnrelic: Elden Ring is about having a beautiful dream that you're Welsh. Bloodborne is about waking up in England.
8,RT @Elajjaz: Sorceries are back in absolute full force in Elden Ring https://t.co/DJMmH7rwzD
9,RT @DolanDark: The average Elden Ring experience https://t.co/qaimkb2pFC
10,RT @KinoFabino: Ive been stuck on this boss fight in Elden Ring for hours https://t.co/odUB39merS
11,"RT @Dragk_: One elden ""Ring"" - WIP
#ELDENRING #3D #hentai
Tight, but fits perfectly.

✨""Try Thrust but hole""✨

Yeah, I've been playing Elde…"
12,"Just went LIVE! 🌟

Playing Elden Ring, absolutely shitting on every boss that gets in my way!

Don’t believe me.. click the link to the stream in the replies.

Let’s jump in! 😉 https://t.co/kX8hSJJL3K"
13,RT @ZullieTheWitch: George R.R. Martin's major contribution to Elden Ring was purportedly writing a short story based on a draft of the set…
14,"RT @TheActMan_YT: Elden Ring is one of those extremely rare games that can take over my life. Its so good, it's actually unhealthy for my w…"
15,tweet
16,"RT @VideoArtGame: Elden Ring x Dark Souls

Artist: HI-MO https://t.co/UobxommoEI"
17,"RT @PlayStation: FromSoftware dazzles players with a new formula that encourages and rewards exploration, earning Elden Ring Editors' Choic…"
18,"you: plays Elden Ring to experience a beautiful large scale RPG
me: plays Elden Ring to hear the menu music on repeat 

we are not the same"
19,"RT @Guitartist2: Some people have asked to have this colored so 
went ahead and did just that^^
I usually just add one dark color to skin b…"
20,"And now an Elden Ring joke that’s only partially rot13’d

Alexander: V yvxr gb chg fgebat jneevbef va zr!
Me: unun gung’f jung fur fnvq-… …bu
…
Me: that part could be either miyazaki or martin really"
21,"RT @ZullieTheWitch: Out of curiosity, did you change your Physick often or did you mostly use the same mixture? If the latter, what tears d…"
22,"RT @BandaiNamcoUS: To celebrate one month since the launch of #ELDENRING we have a special giveaway for an Elden Ring ASTRO A40 headset!

T…"
23,"Trying out my base Vtube model tonight and exploring some more on Elden Ring &lt;3

Drop by and say hi :D
#ELDENRING #Livestream #Vtuber 

https://t.co/3nP1ARQY1w"
24,RT @softwilly: yeah it’s called elden ring
25,Sekiro first time playing ....yeah this a completely diff level then elden ring lmaooo https://t.co/prOlzDZV5v
26,"RT @ELahti: Wow, Elden Ring has lost 50% of its players in just one month. Rough launch, not enough content. Silence from the developer and…"
27,"RT @LunyDoobles: elden ring has taken me by the neck, and it's taken her by the everything https://t.co/30bJYMxLah"
28,RT @michaelleung: yeah its called ELDEN RING
